1,0,0,util Collection containsAll,util stream Stream anyMatch,util Collections unmodifiableList,util stream Stream containsAll,util Collections emptyList,util Collections unmodifiableCollection,lang Arrays asList
1,0,0,Collection containsAll,stream Stream anyMatch,stream Stream containsAll,Collections unmodifiableList,Collections emptyList,stream Stream allMatch,Collections unmodifiableCollection
1,0,0,String valueOf,Math abs,System currentTimeMillis,String indexOf,Math min,String format,System nanoTime
0,1,0,util List add,awt Container addImpl,util Arrays fill,awt Container add,awt Graphics fillPolygon,util Collections shuffle,util Arrays binarySearch
1,0,0,nio file Files move,nio file spi FileSystemProvider createSymbolicLink,nio file Files rename,nio file spi FileSystemProvider create,nio file Path toFile,nio file spi FileSystemProvider createWritableFile,nio file spi FileSystemProvider getSystemJavaCompiler
1,0,0,createTempFile,mkdirs,setCanonicalFile,toURI,getCanonicalPath,moveTo,setCanonicalName
1,0,1,util stream Stream map,lang Class cast,util stream Stream of,util stream Collectors toList,util Stream toMap,util stream Stream mapToObj,util stream Stream flatMap
1,1,0,package-summary Weakly,package-summary package,Collector of,Collectors groupingBy,package-summary NonInterference,IntStream boxed,Collectors toList
1,0,0,log10,addExact,roundceil,ROUND,roundround,ceiling,pow
1,0,0,math BigDecimal setScale,awt Math round,util concurrent Future get,lang Math floor,math Math round,math BigDecimal valueOf,langMath round
1,0,0,util Arrays copyOf,lang ProcessBuilder start,lang ProcessBuilder redirectErrorStream,io InputStream available,lang Object toString,net URL openStream,lang ProcessBuilder redirectOutput
1,0,0,arraycopy, gc,setProperty,maxMemory,garbageCollection,loadLibrary,garbage
0,1,0,Double isProbablePrime,Double isAfter,Math floor,Math addExact,Double isInfinite,Math ceil,Math asin
0,1,0,lang Math floor,lang Double isAfter,lang Double isProbablePrime,lang Double POSITIVE,lang Double isInfinite,lang Double isWithinHorizon,lang Double isNaN
1,0,0,ImageIO getReaderFileSuffixes,ImageIO readStreamHeader,ImageIO write,ImageIO getImageInputStream,ImageIOread read,ImageIO close,ImageIO readAll
1,0,0,imageio ImageIO scanForPlugins,swing SwingUtilities invokeLater,swing imageio ImageIO read,xml bind DatatypeConverter parseBase,net ssl HttpsURLConnection setDefaultHostnameVerifier,imageio ImageIO write,xml bind JAXBContext newInstance
1,0,0,net URI toASCIIString,util regex Matcher replaceAll,lang String replace,nio file Path replaceAll,nio file Path normalize,util regex Matcher quoteReplacement,nio file Paths get
1,0,0,Character isLetterOrDigit,Character getNumericValue,StringBuilder replace,String replaceFirst,Integer toString,Character isJavaIdentifierPart,Character isLetter
1,0,0,getPackageInfo,getDeclaredMethods,isAssignableFrom,getPackage,getDeclaredClasses,getDeclaredClass,ifName
1,0,0,net URLClassLoader addURLStreamHandlerFactory,net URLClassLoader setDefaultPackageInfo,net URLClassLoader getClassForName,util Class forName,net URLClassLoader findClass,net URLClassLoader setPackageInfo,net URLClassLoader getURLs
0,1,0,walkFiletree,list,walk FileTree,walkDirectory,listFiles,walkFiles,walkTree
0,1,0,nio file Files find,nio file Paths get,nio file Files walk,nio file Path relativize,io File isDirectory,nio file File listFiles,nio file Files list
1,0,0,sleep ( 10 ),yield, sleep,stop,currentThread ( ) sleep,interrupt,sleep ( 1 ) sleep
1,0,0,util concurrent Executors newFixedThreadPool,util concurrent Executors newCachedThreadPool,util concurrent Executors defaultThreadFactory,util concurrent ScheduledThreadPoolExecutor scheduleWithFixedDelay,util concurrent Executors newScheduledThreadPool,util concurrent Executors newSingleThreadExecutor,util concurrent ScheduledThreadPoolExecutor schedule
1,0,0,sort ( Collections sort,sort ( List sort,sort ( Collectors groupingBy,sort ( Comparator comparing, sort,sort ( Comparator comparingDouble,sort ( Collectors sortingBy
1,0,0,util List sort,lang String compareTo,lang Double compare,util Arrays sort,lang Comparable compareTo,util ArrayList sort,lang String compareToIgnoreCase
0,0,0,lang String replaceAll,util regex Pattern quote,util regex Matcher appendReplacement,util StringBuffer replace,util Arrays deepToString,util Arrays copyOf,util regex Matcher replaceAll
0,0,0,copyOf,equals,copyOfRange,fill,copyOf ( StringBuffer replace,copyOf ( arguments ),copyOfSubstring
1,0,0,util concurrent package-summary MemoryVisibility,util concurrent Executors newSingleThreadExecutor,awt EventQueue invokeLater,util concurrent ExecutorService submit,util concurrent Executors newScheduledThreadPool,util concurrent ExecutorService suspend,util concurrent Executors newSingleThreadScheduledExecutor
1,0,0,System exit,Runnable run,String equals,Thread stop,Thread pause,System currentTimeMillis,Thread start
1,0,0,sort ( Comparator comparing,sort ( Collections sort,sorted,shuffle,max,sortedList,sort ( Collectors groupingBy
1,0,0,List indexOf,List sort,TreeSet floor,TreeSet subSet,ArrayList contains,List indexOfSubList,TreeSet floorEntry
1,0,0,Runtime freeMemory,String intern,Thread sleep,Object finalize,Runtime gc,Long toString,String getBytes
1,0,0,arraycopy,gc,setOut,garbageCollection,currentTimeMillis,garbage,setProperty
1,0,0,awt EventQueue invokeLater,awt Container getBounds,awt Frame setBounds,awt Container validate,awt CardLayout next,awt Frame setExtendedState,awt Container addImpl
1,0,0,CardLayout show,Components setBounds,Graphics setBounds,Component addNotify,Graphics drawImage,Container setComponentZOrder,Window pack
0,0,0,lang Class newInstance,lang Object clone,lang Class forName,util Collections unmodifiableList,lang Class clone,lang Class isAssignableFrom,lang Class getClone
1,0,0,hashCode,clone ( ),copyOf,clazz,deepToString, clone,equals
1,0,0,io BufferedReader readLine,util Scanner useDelimiter,lang System lineSeparator,text BreakIterator getLineInstance,text BreakIterator getWordInstance,lang Double parseDouble,util Scanner columns
1,0,0,System getProperty,Double parseDouble,String trim,String substring,Long parseLong,Float valueOf,Math min
1,0,0,String trim,String join,String charAt,String String,System getProperty,System lineSeparator,Stringsplit
1,0,0,getBytes,isEmpty,substring,trim,charAt,join,getAllOf
1,0,0,util concurrent Executors newSingleThreadExecutor,lang ProcessBuilder redirectErrorStream,util concurrent Executors newFixedThreadPool,lang ProcessBuilder start,lang ProcessBuilder redirectOutput,util concurrent Executors defaultThreadFactory,lang Runtime getRuntime
1,0,0,findRuntime,findLibrary,loadLibrary,Runtime,findInRuntime, exec,findInBackground
0,1,0,walkTree,walkFiles,walkfileTree,walk FileTree,walkRecurse,walkFileSystemTree,list
0,1,0,Files newDirectoryStream,Files list,Files find,FileSystem walkFileTree,Files readAllLines,Files walk FileTree,Files walkFileSystemTree
1,0,0,swap,nCopies,sortedList,sorted, sort,reverse,list
1,0,0,util Comparator compare,util ArrayList add,lang Integer compare,util Arrays sort,util Comparator comparing,lang String compareTo,util Collections swap
1,0,0,util Arrays toString,util stream Collectors summingInt,lang String split,lang Math pow,util Arrays asList,lang String hashCode,lang Long parseLong
1,0,0,intBitsToRawIntBits,intBitsToFloat,intBitsToInt,intValue,intBitsToInteger,parseUnsignedInt, parseInt
0,1,0,util HashMap get,lang System identityHashCode,util HashMap hashCode,util Hashtable hashCode,util HashMap size,util Hashtable get,lang System gc
1,0,0,newSetFromMap,unmodifiableMap,singleton,checkedMap, synchronizedMap,newMapFromMap,higherHashCode
1,0,0,util stream Collectors toMap,util Arrays asList,lang Integer valueOf,util Collections unmodifiableMap,util stream Collectors collectingAndThen,lang Object hashCode,util stream Collectors toList
1,0,0,Collections unmodifiableMap,stream Collectors toMap,stream Stream flatMap,Optional ofNullable,stream Collectors toList,Collection removeIf,stream Collectors groupingBy
1,0,0,nextInt,random ( ),nextGaussian, random,floor,randomInt,random ( ) * 5
0,0,0,util Collections shuffle,util concurrent LocalRandom current,util Random nextInt,util Collections synchronizedList,util Collections random,util concurrent LocalRandom next,util concurrent ThreadLocalRandom next
1,0,0,sleeper,synchronization,sleep,interrupted,yield,sleeptime,interrupt
1,0,0,Object wait,Runnable run,Math sleep,System nanoTime, Thread sleep,Integer parseInt,System exit
0,1,0,util Random nextDouble,util Random nextBoolean,math BigInteger probablePrime,math BigInteger nextProbablePrime,util Random nextGaussian,util Random nextInt,util Random Random
1,0,0,nextFloat,NextInt,nextLong,nextBoolean,nextDown,NextDouble,nextBytes
1,0,0,runTime,setRuntime,runLater,run,start,currentTimeMillis,invoke
0,0,0,Runtime exec,System currentTimeMillis,System nanoTime,Thread currentThread,Thread start,Runnable run,Class getMethod
1,0,0,compile,splitAsStream,toPattern,getPattern,toLowerCase, compile,getMatcher
1,0,0,lang String valueOf,lang String replaceAll,lang String equals,util regex Pattern quote,lang String compile,lang String replace,lang String format
1,0,0,util Scanner useDelimiter,util Scanner next,util StringTokenizer nextToken,util Tokenizer nextToken,io BufferedReader readLine,util Scanner nextToken,util Scanner nextLine
1,0,0,Tokenizer nextToken,tokenizer,toCharArray,StringTokenizer,getBytes,splitting,splitAll
1,0,0,concurrent ExecutorService invokeAll,concurrent ThreadPoolExecutor allowCoreThreadTimeOut,concurrent ExecutorService submit,concurrent ConcurrentHashMap putIfAbsent,concurrent Executors newSingleThreadExecutor,concurrent Executors newWorkStealingPool,concurrent Future get
1,0,0,lang Thread sleep,util concurrent ConcurrentHashMap putIfAbsent,util concurrent ExecutorService invokeAll,util concurrent Future get,util concurrent Executors newSingleThreadExecutor,util Collections newFixedThreadPool,util concurrent ExecutorService submit
1,0,0,newListFromMap,newSingleThreadExecutor,newShutDownList,newSingleThreadReentrantList,newJoinedList,synchronizedSortedList,newSingleThreadListExecutor
